Ams,Amsterdam
xxx,Amsterdam
Alphen aan den ryn,Alphen aan den rijn
st. jansteen, Sint jansteen
st jansteen, Sint jansteen
'S-GRAVENHAGE, Den Haag
S-GRAVENHAGE, Den Haag
S'-GRAVENHAGE, Den Haag
's hertogenbosch, Den Bosch
Den Bos, Den Bosch
S-Hertogenbosch, Den Bosch
'S-Hertogenbosch, Den Bosch
